timestep,oat_mse,enriched_mse
3.640000000000000000e+02,2.915282507532274692e-01,2.541993103979621194e-01
3.650000000000000000e+02,2.901961310433912034e-01,2.561724259065606968e-01
3.660000000000000000e+02,2.884510337156122595e-01,2.570005161349768752e-01
3.670000000000000000e+02,2.642668414850184444e-01,2.705500852358656561e-01
3.680000000000000000e+02,1.691619257012710043e-01,3.053968760872852184e-01
3.690000000000000000e+02,3.151102685635013834e-01,2.347993810755630018e-01
3.700000000000000000e+02,3.202758075691455875e-01,2.351191793868541990e-01
3.710000000000000000e+02,3.182474412035265487e-01,2.294011445069691624e-01
3.720000000000000000e+02,2.801868263146112814e-01,2.256830827856523836e-01
3.730000000000000000e+02,2.802441589436818759e-01,1.763566209694085729e-01
3.740000000000000000e+02,2.858455551108218806e-01,1.009708870102905276e-01
3.750000000000000000e+02,2.916773373181635876e-01,1.010276524009116744e-01
3.760000000000000000e+02,2.838435028007509353e-01,9.912787508623369104e-02
3.770000000000000000e+02,2.918312888014979456e-01,1.047886407767280870e-01
3.780000000000000000e+02,2.840157275786623359e-01,1.019967379016058079e-01
3.790000000000000000e+02,2.788323078596313676e-01,1.027984745618089890e-01
3.800000000000000000e+02,2.724045714227638082e-01,1.037784759463757644e-01
3.810000000000000000e+02,2.714339462715861795e-01,1.102771667913694104e-01
3.820000000000000000e+02,2.149598642315070640e-01,1.096719700673376569e-01
3.830000000000000000e+02,1.997285095853143788e-01,9.828768173508954653e-02
3.840000000000000000e+02,2.516706721123825874e-01,9.102710496107056792e-02
